Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Lemon & Walnut Sponge Cake (w/nuts) (v),Cream Cheese Pie (v),Bakery,Mexican Chocolate Cake (v),Bakery,Lemon Scone (vgn),Bakery,Zebra Bar (w/nuts) (v),Bakery
Matzo Ball Soup,French Onion Soup (vgn),Blue Plate Special,Curried Chicken Soup,Blue Plate Special,Hearty Vegetable Soup (vgn),Blue Plate Special,Vegetable Beef Soup,Blue Plate Special
Fish Sandwich on Wheat Bun w/Tartar Sauc,Fish Cake,Blue Plate Special,BBQ Beef on Bun,Blue Plate Special,Mushroom Barley Soup (vgn),Blue Plate Special,Bean & Barley Soup (vgn),Blue Plate Special
Asparagus Matzo Salad (vgn),Greek Salad (v),Salads/Deli (West Side),Wild Rice Garden Salad (vgn),Salads/Deli (West Side),Three Bean Salad (vgn),Salads/Deli (West Side),Tangy Cool Noodle Salad (vgn),Salads/Deli (West Side)
Macaroon (w/nuts) (v),Rocky Road Tart (w/nuts),Bakery,Cream Cheese Strudel (v),Bakery,Snickerdoodle (v),Bakery,Sourdough Rounds (vgn),Bakery
Mashed Red Potatoes (v),Spinach with Fresh Garlic & Ginger (vgn),Blue Plate Special,Baked Potato (vgn),Blue Plate Special,French Cut Green Beans (vgn),Blue Plate Special,Vegetable Turnover (v),Blue Plate Special
Turkey Gravy,Lemon Beurre Blanc (v),Blue Plate Special,Broccoli Florette (vgn),Blue Plate Special,Blackened Catfish,Blue Plate Special,Herb Chicken Quarters,Blue Plate Special
Gazpacho Salad (vgn),Macaroni Salad (v),Salads/Deli (West Side),Green Bean Provencal Salad (v),Salads/Deli (West Side),Lemon Herb Quinoa Salad (vgn),Salads/Deli (West Side),Jicama Salad (vgn),Salads/Deli (West Side)
Broccoli Florette (vgn),Lemon Beurre Blanc (v),Blue Plate Special,Turkey Gravy,Blue Plate Special,Blackened Catfish,Blue Plate Special,Herb Chicken Quarters,Blue Plate Special
Bean and Cheese Burrito (v),Chipotle Tempeh Tacos (vgn),Taqueria (East Side),Tofu Mole Enchilada (vgn),Taqueria (East Side),Beef Hard Shell Taco,Taqueria (East Side),Fish Taco,Taqueria (East Side)
