Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Potato Cheese Soup (v),Carrot and Ginger Soup (vgn),Grill (Cafe),Greek Avgolemono Soup,Grill (Cafe),Egg Drop Soup,Grill (Cafe),Cream of Tomato Basil Soup (v),Grill (Cafe)
Grilled Turkey Burger,Grilled Chicken Taco,Grill (Cafe),Gardenburger (v),Grill (Cafe),Corn Quesadilla (v),Grill (Cafe),Cheeseburger,Grill (Cafe)
Garlic French Bread (v),Rosemary Bread (v),Bakery,Rosemary Roll (v),Bakery,Irish Soda Bread (v),Bakery,Raisin Bread with Glaze (v),Bakery
Toll House Bar (vgn),Lemon Poppyseed Muffin (v),Bakery,Carrot Muffin (vgn),Bakery,Boston Cream Pie (v),Bakery,Tres Leches Cake (v),Bakery
Magic Walnut Cookie Bar (w/nuts) (v),Riccotta Cheesecake w/Berry Compote (v),Bakery,Tres Leches Cake (v),Bakery,Blueberry Crumb Pie (vgn),Bakery,Apple Crumb Pie (vgn),Bakery
Chicken Fried Rice,Chinese Style Tofu & Vegetables (vgn),Mongolian Grill,Chinese Chicken with Summer Vegetables,Mongolian Grill,Vegetable Fried Rice (v),Mongolian Grill,Pork Fried Rice,Mongolian Grill
Fasolada Soup (vgn),Vegetable Soup (vgn),Mongolian Grill,Minestrone Soup (vgn),Mongolian Grill,Potato Leek Soup (v),Mongolian Grill,Hearty Vegetable Soup (vgn),Mongolian Grill
Blackened Mahi Mahi,Beef Meatloaf,Euro,Roast Pork Loin,Euro,Chicken Shoyu,Euro,Steamed Fresh Carrots (vgn),Euro
Creole Beans and Rice (vgn),Vegetable Tostada (v),Euro,Mashed Potatoes (v),Euro,Sauteed Kale & Collard Greens (vgn),Euro,Ratatouille with White Beans (vgn),Euro
Sauteed Kale & Collard Greens (vgn),Mashed Potatoes (v),Euro,French Cut Green Beans (vgn),Euro,Basmati Rice (vgn),Euro,Rice Pilaf with Mushrooms (vgn),Euro
Whole Wheat Spaghetti (vgn),Fettuccine (vgn),Pasta,Tomato and Leek Marinara (vgn),Pasta,Baked Rigatoni (v),Pasta,Fettucine Alfredo,Pasta
White Wine Garlic Sauce with Chicken,Chicken Marinara Sauce,Pasta,Bolognaise Sauce,Pasta,Chicken Sausage & Mushroom Sauce,Pasta,Fettuccine with Mustard Chicken Sauce,Pasta
Spirals with Marinara Sauce (vgn),Fresh Tomato Basil Sauce (vgn),Pasta,Fettuccine with Mustard Chicken Sauce,Pasta,Garlic & Caper Butter Sauce (v),Pasta,Chicken Sausage & Mushroom Sauce,Pasta
Oatmeal Bread (v),Galaktoboureko (Greek Pudding) (v),Bakery,Banana Coffee Cake (w/nuts) (v),Bakery,Passover Crunchy Choc Matzo Bark (v),Bakery,Sweet Rice Cake (w/nuts) (vgn),Bakery
Apple Crumb Pie (vgn),Blueberry Crumb Pie (vgn),Bakery,Magic Walnut Cookie Bar (w/nuts) (v),Bakery,Riccotta Cheesecake w/Berry Compote (v),Bakery,Maple Pecan Scone (w/nuts) (v),Bakery
Canadian Bacon,Cage Free Scrambled Eggs with Cheese (v),Grill (Cafe),Krinkle Cut Fries (vgn),Grill (Cafe),Cream of Wheat (vgn),Grill (Cafe),Mardi Gras Eggs with Ham,Grill (Cafe)
Strawberry Pancake (v),Blueberry Pancake (v),Grill (Cafe),Pancake (v),Grill (Cafe),Whole Wheat Pancake (Housemade) (v),Grill (Cafe),Egg Ham & Cheese English Muffin Sandwich,Grill (Cafe)
Raspberry Swirl Coffee Cake (w/nuts)(vgn,Banana Chocolate Bar (vgn),Bakery,Black Forest Cake (v),Bakery,White Choc Macadamia Cookie (w/nuts) (v),Bakery,Chocolate Peanut Butter Cupcake(w/nut)(v,Bakery
Chicken & Vegetable Stir Fry,Vegetable Stir Fry (vgn),Mongolian Grill,Stir Fry Noodles with Vegetables (vgn),Mongolian Grill,Chicken Stir Fry with Green Beans,Mongolian Grill,Spicy Stir Fry Sauce (vgn),Mongolian Grill
Asian Vegetable Stir Fry (vgn),Pork & Veggie Stir Fry,Mongolian Grill,Beef Stir Fry with Spicy Sauce,Mongolian Grill,Stir Fry Pork with Vegetables,Mongolian Grill,Beef Broccoli & Mushroom Stir Fry,Mongolian Grill
Ambrosia Salad,Chicken Caesar Salad,Salads,Italian Tossed Greens (vgn),Salads,Three Bean Salad (vgn),Salads,Asian Noodle Salad (vgn),Salads
Pasta Salad with Grilled Veggies (vgn),Tossed Antipasta Salad,Salads,Pasta Salad with Spinach & Feta (v),Salads,Pasta Salad with Smoked Salmon,Salads,Nicoise Pasta Salad,Salads
Roast Beef Sandwich with Gravy,Black Bean Enchilada (v),Euro,Philly Cheese Steak Sandwich,Euro,BBQ Chicken Sandwich,Euro,Spicy Meatball Sandwich,Euro
Chili and Noodles (vgn),Sauteed Fresh Carrots (vgn),Euro,Fresh Broccoli Spears (vgn),Euro,Baby Carrots with Tarragon (vgn),Euro,Japanese Chicken Curry,Euro
Fresh Corn on the Cob (vgn),Indian Lentils w/Long Grain Rice (vgn),Euro,Potato Garlic Mashed (v),Euro,Baked Acorn Squash (v),Euro,Steamed Vegetables & Brown Rice (vgn),Euro
Smoked Barbeque Chicken Pizza,Pepperoni Pizza,Pizza,Black and White Brownie (v),Bakery,Passover Crunchy Choc Matzo Bark (v),Bakery,Tamale Pie Vegetarian (v),Euro
Olive Mushroom Pizza on Wheat (v),Vegetable Pizza on Wheat (v),Pizza,Sausage Mushroom Pizza,Pizza,Cheese Pizza on White (v),Pizza,Black Olive Pizza on Wheat (v),Pizza
Egg Drop Soup,Cream of Tomato Basil Soup (v),Grill (Cafe),Gumbo Soup (vgn),Grill (Cafe),Greek Avgolemono Soup,Grill (Cafe),Carrot and Ginger Soup (vgn),Grill (Cafe)
Grilled Chicken Taco,Grilled Turkey Burger,Grill (Cafe),Gardenburger (v),Grill (Cafe),Corn Quesadilla (v),Grill (Cafe),Cheeseburger,Grill (Cafe)
Hot Dog,Grilled Ham with Honey Glaze,Grill (Cafe),Sopa de Lima,Grill (Cafe),Shrimp Sopes w/Roasted Poblano Crema,Grill (Cafe),Hash Browns (vgn),Grill (Cafe)
Whole Wheat Sourdough Bread (v),Ricotta Pepper Bread (v),Bakery,Cheese Roll (v),Bakery,Strawberry Bread (v),Bakery,Banana Nut Bread (w/nuts) (v),Bakery
Mexican Wedding Cookie (w/nuts) (vgn),White Choc Macadamia Cookie (w/nuts) (v),Bakery,Cinnamon Coffee Cake (v),Bakery,Black Forest Cake (v),Bakery,Raspberry Swirl Coffee Cake (w/nuts)(vgn,Bakery
Brownie w/Chocolate Icing (v),Marble Cake with Chocolate Frosting (v),Bakery,Chocolate Flourless Cake (v),Bakery,Chocolate Chip Scone (vgn),Bakery,Mandarin Orange Cake (v),Bakery
Brazilian Black Bean Salad (vgn),Spinach Salad with Honey Dressing (v),Deli,Greek Eggplant Salad (vgn),Deli,Couscous Salad with Tomato & Herb (v),Deli,Roasted Vegetables (vgn),Deli
Red Potato Salad with Dill (v),Antipasto Salad (vgn),Deli,Tuna Salad,Deli,Greek Salad (v),Deli,Argentinian Grilled Vegetable (vgn),Deli
Sesame Beef with Broccoli,Carnitas Tortas,Mongolian Grill,Ground Beef Fajita,Mongolian Grill,African Spiced Seitan (vgn),Mongolian Grill,Vietnamese Vermicelli Shrimp,Mongolian Grill
Orange Tofu (vgn),Teriyaki Beef,Mongolian Grill,Cashew Veggie Tofu (w/nuts) (vgn),Mongolian Grill,Chicken Pad Thai with Peanut (w/nuts),Mongolian Grill,Chicken Fajitas,Mongolian Grill
Hearty Vegetable Soup (vgn),Potato Leek Soup (v),Mongolian Grill,Red Curry Coconut Cashew Soup(w/nut)(vgn,Mongolian Grill,Minestrone Soup (vgn),Mongolian Grill,Vegetable Soup (vgn),Mongolian Grill
Chicken Piccata,Mahi Mahi Veracruz,Euro,Pickled Scallions - Rakkyo Zuke (vgn),Euro,Turkey Meatloaf,Euro,Carrots with Lemon Butter (v),Euro
Sauteed Zucchini (vgn),Sauteed Fresh Carrots (vgn),Euro,Fresh Broccoli Spears (vgn),Euro,Baby Carrots with Tarragon (vgn),Euro,Chili and Noodles (vgn),Euro
Steamed Vegetables & Brown Rice (vgn),Baked Acorn Squash (v),Euro,Potato Garlic Mashed (v),Euro,Indian Lentils w/Long Grain Rice (vgn),Euro,Fresh Corn on the Cob (vgn),Euro
Rice Pilaf with Mushrooms (vgn),Mashed Potatoes (v),Euro,French Cut Green Beans (vgn),Euro,Basmati Rice (vgn),Euro,Sauteed Kale & Collard Greens (vgn),Euro
Bolognaise Sauce,White Wine Garlic Sauce with Chicken,Pasta,Chicken Marinara Sauce,Pasta,Chicken Sausage & Mushroom Sauce,Pasta,Fettuccine with Mustard Chicken Sauce,Pasta
Pasta Pronto (vgn),Whole Wheat Pasta Rigate (vgn),Pasta,Fresh Tomato Basil Garlic Pasta (vgn),Pasta,Wheat Penne Chard & Sun Dried Tomato(vgn,Pasta,Pasta Carbonara,Pasta
Sun Dried Tomato Sauce (vgn),Meat Sauce,Pasta,Marinara Sauce with Sausage,Pasta,Red Clam Sauce,Pasta,Creamy Rosemary Sauce (v),Pasta
Cheese Bread (v),Bread Olive (vgn),Bakery,Olive Whole Wheat Bread (vgn),Bakery,Sour Cream & Chives Roll (v),Bakery,Whole Wheat Cheese Onion Roll (v),Bakery
Tres Leches Cake (v),Riccotta Cheesecake w/Berry Compote (v),Bakery,Magic Walnut Cookie Bar (w/nuts) (v),Bakery,Blueberry Crumb Pie (vgn),Bakery,Apple Crumb Pie (vgn),Bakery
Grits (vgn),Cage Free Eggs Scrambled (v),Grill (Cafe),Cage Free Scrambled Egg Whites (v),Grill (Cafe),Grilled Swiss & Tomato on Wheat (v),Grill (Cafe),Bacon,Grill (Cafe)
French Toast (v),Make Your Own Waffle (v),Grill (Cafe),Thick French Toast (v),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe),Oatmeal (vgn),Grill (Cafe)
English Muffin Chicken Sausage Sandwich,Buttermilk Pancake (v),Grill (Cafe),Banana Pancake (v),Grill (Cafe),Peach Chunk Pancake (v),Grill (Cafe),Egg Ham & Cheese English Muffin Sandwich,Grill (Cafe)
Chocolate Chip Banana Bread (v),Cinnamon Roll (v),Bakery,Roll Herb Whole Wheat (v),Bakery,Cracked Wheat Bread (v),Bakery,Lemon Bread (v),Bakery
Cranberry Almond Biscotti (w/nuts) (v),Chocolate Macaroon (v),Bakery,Danish Pastry (w/nuts) (v),Bakery,Assorted Bagels & Condiments,Bakery,Macaroon (v),Bakery
Sliced Jack Cheese (v),Pita Chips (v),Deli,Hummus (vgn),Deli,Sliced Genoa Salami,Deli,Sliced Provolone Cheese (v),Deli
Sweet and Sour Pork,Kung Pao Chicken with Peanuts (w/nuts),Mongolian Grill,Lemon Ginger Chicken,Mongolian Grill,Tofu Peanut Veggie Kung Pao(w/nut)(vgn),Mongolian Grill,Cucumber Tzatziki (v),Mongolian Grill
Vegetable Yakisoba (v),Rice Noodles with Black Bean Sauce (vgn),Mongolian Grill,Rice with Cilantro & Onions (vgn),Mongolian Grill,Tofu Vegetable Coconut Curry (vgn),Mongolian Grill,Spicy Tofu w/Vegetables & Noodles (vgn),Mongolian Grill
Thai Peanut Sauce (w/nuts) (vgn),Thai Sweet Chili Sauce (vgn),Mongolian Grill,Traditional Teriyaki Sauce (vgn),Mongolian Grill,Garlic Shawarma Sauce (vgn),Mongolian Grill,Common Thresher Shark w/Chermoula Sauce,Mongolian Grill
Mediterranian Couscous (w/nuts) (v),Colorful Coleslaw (v),Salads,Jicama Pico De Gallo (vgn),Salads,Esquites,Salads,Charoset (w/nuts) (v),Salads
Cactus Taco (v),Spicy Meatball Sandwich,Euro,Chicken Enchilada,Euro,BBQ Chicken Sandwich,Euro,Quesadilla (v),Euro
Asian Fish Taco,Smoked Pork Loin and Gouda Sandwich,Euro,Quesadilla (v),Euro,Vegetable Taco (v),Euro,Chicken Enchilada,Euro
Corn with Red Peppers (vgn),Brisket and Potato Kugel,Euro,Creole Beans and Rice (vgn),Euro,Potato Gorda with Corn (v),Euro,Vegetable Tostada (v),Euro
Lentil Soup (vgn),Potato Cheese Soup (v),Grill (Cafe),Carrot and Ginger Soup (vgn),Grill (Cafe),Classic French Onion Soup with Croutons,Grill (Cafe),Greek Avgolemono Soup,Grill (Cafe)
Grilled Cheese Chile & Veggie on Sour(v,Pork Sisig,Grill (Cafe),Machaca de Jalisco Eggs,Grill (Cafe),Grilled Cheddar on Wheat (v),Grill (Cafe),Bacon,Grill (Cafe)
Steak Fries (vgn),Grilled Cheddar on Wheat (v),Grill (Cafe),Chilaquiles (No Egg) (v),Grill (Cafe),Pork Sisig,Grill (Cafe),Egyptian Fava Bean Falafel on Pita (v),Grill (Cafe)
Ginger Basmati Rice (vgn),Long Grain Rice (vgn),Grill (Cafe),Diced Potatoes (vgn),Grill (Cafe),Mexican Rice (vgn),Grill (Cafe),Mexican Crispy Roasted Potatoes (v),Grill (Cafe)
Focaccia Bread (vgn),Roasted Garlic Bread (v),Bakery,Irish Soda Bread (v),Bakery,Rosemary Roll (v),Bakery,Rosemary Bread (v),Bakery
Sweet Rice Cake (w/nuts) (vgn),Chocolate Chip Scone (vgn),Bakery,Black and White Brownie (v),Bakery,Chocolate Chip Cake Kahlua (v),Bakery,Butterscotch Pecan Bar (w/nuts) (v),Bakery
Lemon Bar (v),Oatmeal Raisin Cookie (v),Bakery,Bacon Cheddar Scone,Bakery,Brownie Matzo (w/nuts) (v),Bakery,Key Lime Pie (v),Bakery
Pork Chow Mein,Chicken Fajitas,Mongolian Grill,Chicken Pad Thai with Peanut (w/nuts),Mongolian Grill,Teriyaki Beef,Mongolian Grill,Orange Tofu (vgn),Mongolian Grill
Five Spice Vegetable Stir Fry (vgn),Pork Stir Fry with Green Beans,Mongolian Grill,Ginger Beef Stir Fry,Mongolian Grill,Vegetable & Tofu Stir Fry (vgn),Mongolian Grill,Teriyaki Chicken Stir Fry,Mongolian Grill
Indian Chicken Coconut Curry,Rotisserie Pork Loin,Euro,Cilantro Lime Salmon,Euro,BBQ Pork Spare Ribs,Euro,Roasted Beets (vgn),Euro
Tamale Pie Vegetarian (v),Mushroom Barley Soup (vgn),Euro,Matzo Pie (w/nuts) (vgn),Euro,Black Bottom Banana Cream Pie (v),Bakery,Basmati Rice (vgn),Euro
Sauteed Fresh Cauliflower (vgn),Fresh Broccoli Spears (vgn),Euro,Baby Carrots with Tarragon (vgn),Euro,Chili and Noodles (vgn),Euro,Japanese Chicken Curry,Euro
Basmati Rice with Peas (vgn),Refried Beans (vgn),Euro,Roasted Potato Wedges (vgn),Euro,Fresh Vegetable Medley (vgn),Euro,Oven Browned Potatoes (vgn),Euro
Hawaiian Sweet Bread (v),Tsoureki (Greek Easter Bread) (v),Bakery,Double Chocolate Bread (v),Bakery,Pinch Bread (v),Bakery,Pesto Bread (v),Bakery
Carrot Cake (w/nuts) (v),Boston Cream Pie (v),Bakery,Brownie Matzo (w/nuts) (v),Bakery,Bacon Cheddar Scone,Bakery,Oatmeal Raisin Cookie (v),Bakery
Whole Wheat Pancake (Housemade) (v),Egg Ham & Cheese English Muffin Sandwich,Grill (Cafe),Blueberry Pancake (v),Grill (Cafe),Strawberry Pancake (v),Grill (Cafe),Pancake (v),Grill (Cafe)
Machaca de Jalisco Eggs,Grilled Tuna & Swiss on Sourdough,Grill (Cafe),Bacon,Grill (Cafe),Grits (vgn),Grill (Cafe),Grilled Cheese Chile & Veggie on Sour(v,Grill (Cafe)
Cottage Fried Potatoes (vgn),Wild and Long Grain Rice Blend (vgn),Grill (Cafe),Potatoes O'Brien (vgn),Grill (Cafe),Baked Potato (vgn),Grill (Cafe),Home Fried Potatoes (vgn),Grill (Cafe)
Pinch Bread (v),Pesto Bread (v),Bakery,Cheese Onion Roll (v),Bakery,Hawaiian Sweet Bread (v),Bakery,Tsoureki (Greek Easter Bread) (v),Bakery
Pumpkin & Walnut Muffin (w/nuts) (vgn),Date and Cashew Bar (w/nuts) (vgn),Bakery,Maple Pecan Scone (w/nuts) (v),Bakery,Blueberry Scone (vgn),Bakery,Dried Cranberry Coconut Scone (v),Bakery
Egg Salad (v),Tabouli Salad (vgn),Deli,Garden Wild Rice Salad (vgn),Deli,Roasted Vegetables (vgn),Deli,Spinach Salad with Honey Dressing (v),Deli
Sliced Smoked Gouda,Sliced Swiss Cheese (v),Deli,Pita Chips (v),Deli,Sliced Jack Cheese (v),Deli,Hummus (vgn),Deli
Beef Stir Fry with Spicy Sauce,Pork & Veggie Stir Fry,Mongolian Grill,Stir Fry Pork with Vegetables,Mongolian Grill,Beef Broccoli & Mushroom Stir Fry,Mongolian Grill,Tofu Vegetable Stir Fry (vgn),Mongolian Grill
Tofu Peanut Veggie Kung Pao(w/nut)(vgn),Cucumber Tzatziki (v),Mongolian Grill,Lemon Ginger Chicken,Mongolian Grill,Kung Pao Chicken with Peanuts (w/nuts),Mongolian Grill,Sweet and Sour Pork,Mongolian Grill
Colorful Coleslaw (v),Mediterranian Couscous (w/nuts) (v),Salads,Jicama Pico De Gallo (vgn),Salads,Esquites,Salads,Charoset (w/nuts) (v),Salads
Crunchy Fruit Salad (v),Yogurt Potato Salad (v),Salads,Festive Rice Fruit Salad (w/nuts) (vgn),Salads,Gazpacho Salad (vgn),Salads,Bermuda Salad (v),Salads
Chicken Tikka Masala,Steamed Zucchini (vgn),Euro,Fresh Herb Polenta with Marinara (v),Euro,Sauteed Zucchini Sticks (vgn),Euro,Mahi Mahi Veracruz,Euro
Sauteed Yellow Squash with Herbs (vgn),Green Chili & Cheese Tamales (vgn),Euro,Grilled Ono with Pesto Butter,Euro,Macaroni Goulash,Euro,Chicken Congee,Euro
Couscous (vgn),Tonkatsu,Euro,Herb Stuffing,Euro,Japanese Curry (v),Euro,Eggplant Parmigiano (v),Euro
Sausage Mushroom Pizza,Cheese Pizza on White (v),Pizza,Black Olive Pizza on Wheat (v),Pizza,Olive Mushroom Pizza on Wheat (v),Pizza,Vegetable Pizza on Wheat (v),Pizza
Arugula & Artichoke Pizza on White (v),Tomato Pesto Pizza on Wheat (v),Pizza,Buffalo Chicken Pizza,Pizza,Ham & Cheese Pizza,Pizza,Quattro Formaggio Pizza on Wheat (v),Pizza
Greek Avgolemono Soup,Egg Drop Soup,Grill (Cafe),Cream of Tomato Basil Soup (v),Grill (Cafe),Gumbo Soup (vgn),Grill (Cafe),Carrot and Ginger Soup (vgn),Grill (Cafe)
Grass Fed Burger,Grilled Chicken Burger,Grill (Cafe),Black Bean Burger (vgn),Grill (Cafe),Cheeseburger,Grill (Cafe),Corn Quesadilla (v),Grill (Cafe)
Pesto Roll (v),Graham Bread (v),Bakery,Cranberry Orange Bread (w/nuts) (v),Bakery,Sourdough Bread (vgn),Bakery,Roasted Garlic Bread (v),Bakery
Classic French Napoleon (v),Caramel Flan (v),Bakery,Cypriot Tyropita (v),Bakery,Baklava (w/nuts) (v),Bakery,Pan con Queso y Jalapeno,Bakery
Garden Wild Rice Salad (vgn),Roasted Vegetables (vgn),Deli,Spinach Salad with Honey Dressing (v),Deli,Brazilian Black Bean Salad (vgn),Deli,Greek Eggplant Salad (vgn),Deli
Antipasto Salad (vgn),Red Potato Salad with Dill (v),Deli,Greek Salad (v),Deli,Tuna Salad,Deli,Argentinian Grilled Vegetable (vgn),Deli
Salmon Cake,Tacos Al Pastor,Mongolian Grill,Yellow Cake with Chocolate Icing (v),Bakery,Chocolate Chip Cake Kahlua (v),Bakery,Pecan Pie Bar (w/nuts) (v),Bakery
Coriander Lime Aioli (v),Sauteed Kale (vgn),Mongolian Grill,Cashew Chicken (w/nuts),Mongolian Grill,Lamb Greek Gyro,Mongolian Grill,Ground Beef Fajita,Mongolian Grill
Sauteed Kale (vgn),Coriander Lime Aioli (v),Mongolian Grill,Cashew Chicken (w/nuts),Mongolian Grill,Lamb Greek Gyro,Mongolian Grill,Beef Chow Mein,Mongolian Grill
Beef and Bean Tostada,Arni Psito (Roasted Lamb),Euro,Peas (vgn),Euro,Chamorro BBQ Chicken,Euro,Fresh Cauliflower (vgn),Euro
Fire Roasted Tomato Chipotle Salsa (vgn),Guava Rum BBQ Sauce (vgn),Euro,Rockfish with Red Curry Sauce,Euro,Green Salsa (vgn),Euro,Boneless Breaded Cajun Pork Chop,Euro
Olive Whole Wheat Bread (vgn),Sour Cream & Chives Roll (v),Bakery,Bread Olive (vgn),Bakery,Cheese Bread (v),Bakery,Banana Nut Bread (w/nuts) (v),Bakery
Yellow Cake with Mocha Frosting (v),Bran Muffin (v),Bakery,Raspberry White Chocolate Muffin (v),Bakery,Coconut Poke Cake (v),Bakery,Lemon Scone (vgn),Bakery
Denver Omelet,Beefy Eggs Machaca,Grill (Cafe),Arroz con Leche (v),Grill (Cafe),Croissant with Ham & Cheese,Grill (Cafe),Grilled Turkey & Swiss on Sourdough,Grill (Cafe)
Western Hash Browns (vgn),Grilled Cheese on Sourdough (v),Grill (Cafe),Grilled Ham & Swiss on Sourdough,Grill (Cafe),Cage Free Scrambled Eggs w/Ham & Cheese,Grill (Cafe),Chicken Taquito,Grill (Cafe)
Cypriot Tyropita (v),Baklava (w/nuts) (v),Bakery,Classic French Napoleon (v),Bakery,Caramel Flan (v),Bakery,Baba au Rum (v),Bakery
Roasted Vegetables (vgn),Garden Wild Rice Salad (vgn),Deli,Spinach Salad with Honey Dressing (v),Deli,Brazilian Black Bean Salad (vgn),Deli,Greek Eggplant Salad (vgn),Deli
Tacos Al Pastor,Carnitas Taco,Mongolian Grill,Thai Sweet Chili Sauce (vgn),Mongolian Grill,Breakfast Burrito (v),Grill (Cafe),Chinese Style Tofu & Vegetables (vgn),Mongolian Grill
Gazpacho Salad (vgn),Festive Rice Fruit Salad (w/nuts) (vgn),Salads,Cucumber & Onion Salad (vgn),Salads,Arugula Salad with Goat Cheese (v),Salads,Ensalada de Chivo (Salpicon Style Goat),Salads
French Potato Salad (vgn),Quinoa Salad w/Lemon Herb Veggies (vgn),Salads,Chinese Broccoli Salad (vgn),Salads,Waldorf Walnut Salad (w/nuts) (v),Salads,Carrot & Raisin Salad (v),Salads
Chicken Caesar Sandwich,Garden Burger Patty Melt (v),Euro,Herb Marinated Fish Taco,Euro,BBQ Beef Sandwich,Euro,Vegetable Taco (v),Euro
Marinated Italian Vegetable Salad (vgn),Fresh Green Beans (vgn),Euro,Corn (vgn),Euro,Oven Roasted Red Potatoes (vgn),Euro,Risotto with Fresh Vegetables (vgn),Euro
Bacon Tomato Basil,Molletes (v),Pizza,Ham & Pineapple,Pizza,Snickerdoodle (v),Bakery,Shrimp Sopes w/Roasted Poblano Crema,Grill (Cafe)
Quattro Formaggio Pizza on Wheat (v),Pineapple & Jalapeno Pizza on White (v),Pizza,Tomato Basil Pizza on White (v),Pizza,Salami Pizza,Pizza,Ham & Cheese Pizza,Pizza
Classic French Onion Soup with Croutons,Lentil Soup (vgn),Grill (Cafe),Potato Cheese Soup (v),Grill (Cafe),Carrot and Ginger Soup (vgn),Grill (Cafe),Greek Avgolemono Soup,Grill (Cafe)
Grilled Ham & Swiss on Sourdough,Grilled Cheese on Sourdough (v),Grill (Cafe),Western Hash Browns (vgn),Grill (Cafe),Chicken Taquito,Grill (Cafe),Cage Free Scrambled Eggs w/Ham & Cheese,Grill (Cafe)
Cheese Onion Roll (v),Pesto Bread (v),Bakery,Pinch Bread (v),Bakery,Whole Wheat Cheese Onion Roll (v),Bakery,Hawaiian Sweet Bread (v),Bakery
Snickerdoodle (v),Galaktoboureko (Greek Pudding) (v),Bakery,Fresas con Crema (v),Bakery,Pandesal (v),Bakery,Macaroon (v),Bakery
Baklava (w/nuts) (v),Cypriot Tyropita (v),Bakery,Baba au Rum (v),Bakery,Classic French Napoleon (v),Bakery,Caramel Flan (v),Bakery
Buttermilk Chicken Fried,Steamed Crookneck Squash (vgn),Euro,Mushroom Gravy,Euro,Roast Beef,Euro,Steamed Carrots (vgn),Euro
Carrots with Lemon Butter (v),Turkey Meatloaf,Euro,Pickled Scallions - Rakkyo Zuke (vgn),Euro,Chicken Piccata,Euro,Roasted Beets (vgn),Euro
Gnocchi Mushroom Corn & Sage Butter (v),Pinto Beans (vgn),Pasta,White Navy Beans (vgn),Pasta,Garden Vegetable Marinara (vgn),Pasta,Fusilli with Roasted Vegetables (v),Pasta
Pasta Shells w/Eggplant & Marinara (vgn),Pasta Carbonara,Pasta,Whole Wheat Pasta Rigate (vgn),Pasta,Pasta Pronto (vgn),Pasta,Rotini Pasta (vgn),Pasta
Ricotta Pepper Bread (v),Whole Wheat Sourdough Bread (v),Bakery,Cheese Roll (v),Bakery,Strawberry Bread (v),Bakery,Banana Nut Bread (w/nuts) (v),Bakery
Tomato Soup w/Fresh Vegetables (vgn),North African Stew (vgn),Euro,White Bean Basque Soup (vgn),Euro,Cabbage Soup (vgn),Euro,Matzo Gnocchi Soup,Euro
Chicken Enchilada,Cactus Taco (v),Euro,Spicy Meatball Sandwich,Euro,Quesadilla (v),Euro,Smoked Pork Loin and Gouda Sandwich,Euro
Refried Beans (vgn),Basmati Rice with Peas (vgn),Euro,Roasted Potato Wedges (vgn),Euro,Fresh Vegetable Medley (vgn),Euro,Oven Browned Potatoes (vgn),Euro
Cage Free Scrambled Eggs with Cheese (v),Canadian Bacon,Grill (Cafe),Cream of Wheat (vgn),Grill (Cafe),Krinkle Cut Fries (vgn),Grill (Cafe),Mardi Gras Eggs with Ham,Grill (Cafe)
Grilled Ham with Honey Glaze,Hash Browns (vgn),Grill (Cafe),Hot Dog,Grill (Cafe),Shrimp Sopes w/Roasted Poblano Crema,Grill (Cafe),Sopa de Lima,Grill (Cafe)
Chocolate Chip Scone (vgn),Brownie (w/nuts) (v),Bakery,Bibingka Filipino Coconut Cake (v),Bakery,Banana Coffee Cake (w/nuts) (v),Bakery,Sweet Rice Cake (w/nuts) (vgn),Bakery
Lemon Bread (v),Cinnamon Roll (v),Bakery,Roll Herb Whole Wheat (v),Bakery,Cracked Wheat Bread (v),Bakery,Chocolate Chip Banana Bread (v),Bakery
Stir Fry Pork with Vegetables,Beef Broccoli & Mushroom Stir Fry,Mongolian Grill,Tofu Vegetable Stir Fry (vgn),Mongolian Grill,Beef Stir Fry with Spicy Sauce,Mongolian Grill,Chicken Stir Fry with Green Beans,Mongolian Grill
Ham & Navy Bean Soup,Spaghetti Soup (vgn),Mongolian Grill,Chicken Rice Soup,Mongolian Grill,Cream of Broccoli Soup (v),Mongolian Grill,Fasolada Soup (vgn),Mongolian Grill
Ginger Beef Pepper Steak,Chicken Mole (w/nuts),Euro,Buttered Noodles (v),Euro,Arroz Blanco,Euro,Honey Baked Chicken Quarters,Euro
Polenta with Marinara Sauce (vgn),Crispy Salmon Roll,Euro,Chicken Quarters with BBQ Sauce,Euro,Red Salsa (vgn),Euro,Boneless Breaded Cajun Pork Chop,Euro
Chicken Sausage & Mushroom Sauce,Fettuccine with Mustard Chicken Sauce,Pasta,Fresh Tomato Basil Sauce (vgn),Pasta,Spirals with Marinara Sauce (vgn),Pasta,Chicken Marinara Sauce,Pasta
Angel Hair Pasta (vgn),Penne with Chicken and Mushrooms,Pasta,Spaghetti Pasta (vgn),Pasta,Whole Wheat Penne Pasta (vgn),Pasta,Wheat Penne Chard & Sun Dried Tomato(vgn,Pasta
Fresh Tomato Basil Sauce (vgn),Fettuccine with Mustard Chicken Sauce,Pasta,Spirals with Marinara Sauce (vgn),Pasta,Chicken Sausage & Mushroom Sauce,Pasta,Garlic & Caper Butter Sauce (v),Pasta
Whole Wheat Bread (v),Whole Wheat Roll (vgn),Bakery,Jalapeno Cheddar Roll (v),Bakery,Chocolate Chip Banana Bread Pudding (v),Bakery,Parmesan Herb Bread (v),Bakery
